CASE_STATUS	EMPLOYER_NAME
CERTIFIED	"1 HOTEL SOUTH BEACH, INC."
CERTIFIED	"1-800-FLOWERS.COM, INC."
CERTIFIED	"10X GENOMICS, INC."
CERTIFIED	"180LA, LLC"
CERTIFIED	"180LA, LLC"
CERTIFIED	"2233 PARADISE ROAD, LLC"
CERTIFIED	"22ND CENTURY TECHNOLOGIES, INC."
CERTIFIED	"23ANDME, INC."
CERTIFIED	"24X7SYSTEMS, INC."
CERTIFIED	"3.1 PHILLIP LIM, LLC"
CERTIFIED	"33RD STRIKE GROUP, LLC"
CERTIFIED	"33RD STRIKE GROUP, LLC"
CERTIFIED	"33RD STRIKE GROUP, LLC"
CERTIFIED	"360 IT PROFESSIONALS, INC."
CERTIFIED	"360TRAINING.COM, INC."
CERTIFIED	"360TRAINING.COM, INC."
CERTIFIED	"3I INFOTECH, INC."
CERTIFIED	"3I INFOTECH, INC."
CERTIFIED	"3I INFOTECH, INC."
CERTIFIED	"3I INFOTECH, INC."
CERTIFIED	"3JM, LLC."
CERTIFIED	"3PL LOGISTICS, INC."
CERTIFIED	"4MEDICA, INC."
CERTIFIED	"4TH SOURCE, INC."
CERTIFIED	"52 WEEKS MARKETING, LLC"
CERTIFIED	"678 USA, INC."
CERTIFIED	"A B CONTROLS & TECHNOLOGY, INC."
CERTIFIED	"A.B. DATA, LTD"
CERTIFIED	"A.B. DATA, LTD"
CERTIFIED	"A10 NETWORKS, INC."
CERTIFIED	"A2Z DEVELOPMENT CENTER INC, D/B/A LAB126"
CERTIFIED	"A2Z DEVELOPMENT CENTER, INC."
CERTIFIED	"AA TECH SOLUTION, INC."
CERTIFIED	"AA-ONE TRANSMISSIONS, INC."
CERTIFIED	"AASONN, LLC"
CERTIFIED	"ABEL CINE TECH, INC."
CERTIFIED	"ABERCROMBIE & FITCH STORES, INC."
CERTIFIED	"ABOUT, INC."
CERTIFIED	"ACADIA PHARMACEUTICALS, INC."
CERTIFIED	"ACCEDO BROADBAND NORTH AMERICA, INC."
CERTIFIED	"ACCELOPS, INC."
CERTIFIED	"ACCIL INTERNATIONAL, LLC"
CERTIFIED	"ACCION LABS US, INC."
CERTIFIED	"ACCREDITATION ASSOCIATION FOR AMBULATORY HEALTH CARE, INC."
CERTIFIED	"ACCRETIVE, LLC"
CERTIFIED	"ACCUWEATHER, INC."
CERTIFIED	"ACME INTERNATIONAL, LLC"
CERTIFIED	"ACMESOFT GLOBAL, INC."
CERTIFIED	"ACMESOFT GLOBAL, INC."
CERTIFIED	"ACORDA THERAPEUTICS, INC."
CERTIFIED	"ACTAVIS LABORATORIES FL, INC."
CERTIFIED	"ACTIMIZE, INC."
CERTIFIED	"ACTIMIZE, INC."
CERTIFIED	"ACTIMIZE, INC."
CERTIFIED	"ACTIVE DAY, INC."
CERTIFIED	"ACTIVE NETWORK, LLC"
CERTIFIED	"ACTIVEON, INC."
CERTIFIED	"ACTIVISION PUBLISHING, INC."
CERTIFIED	"ADAM INFORMATION TECHNOLOGIES, LLC"
CERTIFIED	"ADAPTLY, INC."
CERTIFIED	"ADCONION DIRECT, INC."
CERTIFIED	"ADDFORCE, INC."
CERTIFIED	"ADDFORCE, INC."
CERTIFIED	"ADDFORCE, INC."
CERTIFIED	"ADDFORCE, INC."
CERTIFIED	"ADDFORCE, INC."
CERTIFIED	"ADDFORCE, INC."
CERTIFIED	"ADEQUALITY, INC."
CERTIFIED	"ADEQUALITY, INC."
CERTIFIED	"ADEQUALITY, INC."
CERTIFIED	"ADGISTICS, INC."
CERTIFIED	"ADIDAS AMERICA, INC."
CERTIFIED	"ADIDAS AMERICA, INC."
CERTIFIED	"ADP, LLC"
CERTIFIED	"ADRISE, INC."
CERTIFIED	"ADSWIZZ, INC."
CERTIFIED	"ADVANCED CELL DIAGNOSTICS, INC."
CERTIFIED	"ADVANCED CELL DIAGNOSTICS, INC."
CERTIFIED	"ADVANCED MICRO DEVICES, INC."
CERTIFIED	"ADVANCED MICRO DEVICES, INC."
CERTIFIED	"ADVANCED MICRO DEVICES, INC."
CERTIFIED	"ADVANCED MICRO DEVICES, INC."
CERTIFIED	"ADVANCED MICRO DEVICES, INC."
CERTIFIED	"ADVANCED MICRO DEVICES, INC."
CERTIFIED	"ADVANCED PRACTICE STRATEGIES, INC."
CERTIFIED	"ADVANCEPATH ACADEMICS, INC."
CERTIFIED	"ADVANSTAR COMMUNICATIONS, INC."
CERTIFIED	"ADVERTEX COMMUNICATIONS, INC."
CERTIFIED	"ADVERTISING RESOURCES, INC."
CERTIFIED	"AEGIS MEDIA AMERICAS, INC."
CERTIFIED	"AEGIS MEDIA INNOV8, LLC"
CERTIFIED	"AEGIS MEDIA INNOV8, LLC"
CERTIFIED	"AEROSAFE RISK MANAGEMENT, INC."
CERTIFIED	"AEROSEAL, LLC."
CERTIFIED	"AES SERVICES, INC."
CERTIFIED	"AETREX WORLDWIDE, INC."
CERTIFIED	"AFFECTLAYER, INC."
CERTIFIED	"AFFECTLAYER, INC."
CERTIFIED	"AFFINITY HEALTH PLAN, INC."
CERTIFIED	"AFFIRM, INC."
CERTIFIED	"AFFIRM, INC."
CERTIFIED	"AFFIRMED NETWORKS, INC."
CERTIFIED	"AFI, LLC"
CERTIFIED	"AFS INTERCULTURAL PROGRAMS, INC."
CERTIFIED	"AGENUS, INC."
CERTIFIED	"AGILE GLOBAL SOLUTIONS, INC"
CERTIFIED	"AGILENT TECHNOLOGIES, INC."
CERTIFIED	"AGILENT TECHNOLOGIES, INC."
CERTIFIED	"AGILENT TECHNOLOGIES, INC."
CERTIFIED	"AGIOS PHARMACEUTICALS, INC."
CERTIFIED	"AGLYTIX, INC."
CERTIFIED	"AGLYTIX, INC."
CERTIFIED	"AGRIFACT, LLC"
CERTIFIED	"AGROGILL CHEMICALS AMERICAS, INC."
CERTIFIED	"AGUIRE INTERNATIONAL, INC."
CERTIFIED	"AHOLD USA, INC."
CERTIFIED	"AI CONCEPTS, INC."
CERTIFIED	"AICIAL, INC."
CERTIFIED	"AIG CLAIMS, INC."
CERTIFIED	"AIG EMPLOYEE SERVICES, INC."
CERTIFIED	"AIG EMPLOYEE SERVICES, INC."
CERTIFIED	"AIG EMPLOYEE SERVICES, INC."
CERTIFIED	"AIG EMPLOYEE SERVICES, INC."
CERTIFIED	"AIG EMPLOYEE SERVICES, INC."
CERTIFIED	"AIG EMPLOYEE SERVICES, INC."
CERTIFIED	"AIG PC GLOBAL SERVICES, INC."
CERTIFIED	"AIG PC GLOBAL SERVICES, INC."
CERTIFIED	"AIG TECHNOLOGIES, INC."
CERTIFIED	"AINSWORTH GAME TECHNOLOGY, INC."
CERTIFIED	"AIR BERLIN AMERICAS, INC."
CERTIFIED	"AIR HOLLYWOOD, INC"
CERTIFIED	"AIRBNB, INC."
CERTIFIED	"AIRBNB, INC."
CERTIFIED	"AIRBNB, INC."
CERTIFIED	"AIRBUS AMERICAS, INC."
CERTIFIED	"AIRBUS AMERICAS, INC."
CERTIFIED	"AIRWATCH, LLC"
CERTIFIED	"AIRYSOFT, INC"
CERTIFIED	"AIRYSOFT, INC"
CERTIFIED	"AIST-NT, INC."
CERTIFIED	"AIXTRON, INC."
CERTIFIED	"AKAMAI TECHNOLOGIES, INC."
CERTIFIED	"AKDY IMPORTS, LLC"
CERTIFIED	"AKORN, INC."
CERTIFIED	"AKQA, INC."
CERTIFIED	"AKQA, INC."
CERTIFIED	"AKQA, INC."
CERTIFIED	"AKQA, INC."
CERTIFIED	"AL & JOHN, INC."
CERTIFIED	"AL JANNATH, INC"
CERTIFIED	"AL JANNATH, INC"
CERTIFIED	"AL JAZEERA INTERNATIONAL (USA), INC."
CERTIFIED	"ALASKA BROADCAST COMMUNICATIONS, INC."
CERTIFIED	"ALBERT M. ESPOSITO & ASSOCIATES, INC."
CERTIFIED	"ALBERTO MAKALI, LTD."
CERTIFIED	"ALCATEL-LUCENT USA, INC. (DBA NOKIA)"
CERTIFIED	"ALCATEL-LUCENT USA, INC. (DBA NOKIA)"
CERTIFIED	"ALCATEL-LUCENT USA, INC. (DBA NOKIA)"
CERTIFIED	"ALCON LABORATORIES, INC."
