CASE_STATUS	EMPLOYER_NAME
CERTIFIED-WITHDRAWN	UNIVERSITY OF MICHIGAN
CERTIFIED-WITHDRAWN	"GOODMAN NETWORKS, INC."
CERTIFIED-WITHDRAWN	"PORTS AMERICA GROUP, INC."
CERTIFIED-WITHDRAWN	"GATES CORPORATION, A WHOLLY-OWNED SUBSIDIARY OF TOMKINS PLC"
WITHDRAWN	PEABODY INVESTMENTS CORP.
CERTIFIED-WITHDRAWN	BURGER KING CORPORATION
CERTIFIED-WITHDRAWN	BT AND MK ENERGY AND COMMODITIES
CERTIFIED-WITHDRAWN	"GLOBO MOBILE TECHNOLOGIES, INC."
CERTIFIED-WITHDRAWN	ESI COMPANIES INC.
WITHDRAWN	LESSARD INTERNATIONAL LLC
CERTIFIED-WITHDRAWN	H.J. HEINZ COMPANY
CERTIFIED-WITHDRAWN	DOW CORNING CORPORATION
CERTIFIED-WITHDRAWN	ACUSHNET COMPANY
CERTIFIED-WITHDRAWN	"BIOCAIR, INC."
CERTIFIED-WITHDRAWN	NEWMONT MINING CORPORATION
CERTIFIED-WITHDRAWN	"VRICON, INC."
CERTIFIED-WITHDRAWN	CARDIAC SCIENCE CORPORATION
CERTIFIED-WITHDRAWN	WESTFIELD CORPORATION
CERTIFIED	QUICKLOGIX LLC
CERTIFIED	"MCCHRYSTAL GROUP, LLC"
CERTIFIED-WITHDRAWN	"CUDDLE BARN, INC."
CERTIFIED-WITHDRAWN	WESTFIELD CORPORATION
CERTIFIED	"LOMICS, LLC"
CERTIFIED	UC UNIVERSITY HIGH SCHOOL EDUCATION INC.
CERTIFIED-WITHDRAWN	VMS COMMUNICATIONS LLC
CERTIFIED	"QUICKLOGIX, INC."
CERTIFIED-WITHDRAWN	FOODESSENTIALS CORPORATION
CERTIFIED	HELLO INC.
CERTIFIED	UMBEL CORP
CERTIFIED	"PERSPECTIVES OF FREEDOM FOUNDATION, INC"
CERTIFIED	GTH INC.
CERTIFIED	THE KRAFT HEINZ COMPANY
CERTIFIED	"REGED, INC."
CERTIFIED	VMS COMMUNICATIONS LLC
CERTIFIED	"FINLAY EXTRACTS & INGREDIENTS USA, INC."
CERTIFIED-WITHDRAWN	LABEL INSIGHT
CERTIFIED	LABEL INSIGHT
CERTIFIED	INN AT THE WICKLIFFE LLC
CERTIFIED	"DURHAM SCHOOL SERVICES, LP"
DENIED	"PARALLELS, INC."
CERTIFIED	CB LANSING 300 LLP
CERTIFIED	"SOFTTEK INTEGRATION SYSTEMS, INC."
CERTIFIED	"SPARITY, INC."
CERTIFIED	"ADCONION DIRECT, INC."
CERTIFIED	MAVENCARE US INC.
CERTIFIED	"THE CHICAGO ATHENAEUM: CENTER FOR ARCHITECTURE, DESIGN & URBAN STUDIES"
CERTIFIED	MED ADVANTAGE LLC
DENIED	RANCHO LA PUERTA LLC
CERTIFIED	"STRATEGISM, INC."
CERTIFIED	RANCHO LA PUERTA LLC
CERTIFIED	SPRING BRANCH COMMUNITY HEALTH CENTER
CERTIFIED	SPRING BRANCH COMMUNITY HEALTH CENTER
CERTIFIED	"PAXTERRA SOLUTIONS, INC."
CERTIFIED	"PARALLELS, INC."
CERTIFIED	VARIANTYX INC.
CERTIFIED	NATURAL AMERICAN FOODS INC.
CERTIFIED	"STRATEGISM, INC."
CERTIFIED	NATURAL AMERICAN FOODS INC.
CERTIFIED	"PRONTO GENERAL AGENCY, LTD."
CERTIFIED	CENTRAL OCEANS USA LLC
CERTIFIED-WITHDRAWN	"AMPED, INC."
CERTIFIED	"SENSORHOUND, INC."
CERTIFIED	"UNDER ARMOUR, INC."
CERTIFIED	MAX PLANCK FLORIDA CORPORATION
CERTIFIED	MAX PLANCK FLORIDA CORPORATION
CERTIFIED	"FISERV AUTOMOTIVE SOLUTIONS, INC."
CERTIFIED	"HBN MEDIA, INC."
CERTIFIED	ADVENTIST HEALTH SYSTEM SUNBELT
CERTIFIED	CENTRAL OCEANS USA LLC
WITHDRAWN	SANTA ROSA MEMORIAL HOSPITAL
CERTIFIED	"MAP HEALTH MANAGEMENT , LLC"
CERTIFIED	SANTA ROSA MEMORIAL HOSPITAL
CERTIFIED	BENEFUEL INC.
CERTIFIED	RIVIAN AUTOMOTIVE LLC
CERTIFIED	UNIVERSITY AT ALBANY
CERTIFIED	ARICENT US INC.
WITHDRAWN	UNIVERSAL CITY STUDIOS PRODUCTION LLLP
CERTIFIED	"ALWAYS BELIEVE PLUS, LLC"
CERTIFIED	"ZEETOGROUP, LLC"
WITHDRAWN	HARIBOO FOOD 2004 INC
CERTIFIED	HARIBOO FOOD 2004 INC
WITHDRAWN	"OAK STREET HEALTH MSO, LLC"
CERTIFIED	"OAK STREET HEALTH MSO, LLC"
CERTIFIED	TOTAL CIVIL CONSTRUCTION & ENGINEERING LLC
CERTIFIED	FYBR LLC
CERTIFIED	TOTAL CIVIL CONSTRUCTION & ENGINEERING LLC
CERTIFIED	"GREENLAM AMERICA, INC."
CERTIFIED	UNIVERSAL CITY STUDIOS PRODUCTION LLLP
CERTIFIED	CLARKE CAPITAL PARTNERS LLC
CERTIFIED	"RINA SYSTEMS, LLC"
CERTIFIED	ZYKA FOODS INC.
DENIED	EAGLE MINE LLC
CERTIFIED	EAGLE MINE LLC
CERTIFIED	"CALIFORNIA MASTERPLANT, INC."
CERTIFIED	HARBAR LLC
DENIED	BAKER & MCKENZIE PC
CERTIFIED	"ARUZE GAMING AMERICA, INC."
CERTIFIED	SD MANAGEMENT GROUP LLC
DENIED	"MANITOWOC FSG OPERATIONS, LLC"
CERTIFIED	"BON WORTH, INC."
CERTIFIED	"ASHLEY HOMESTORES, LTD."
CERTIFIED	"BARFRESH, INC."
CERTIFIED	ROBERTSON FOUNDATION
CERTIFIED	KIS USA LLC
CERTIFIED	ONMOBILE USA LLC
WITHDRAWN	BAKER & MCKENZIE PC
CERTIFIED	BAKER & MCKENZIE PC
CERTIFIED	"CORO INVESTMENTS, LP"
CERTIFIED	"AMERICAN REFINING GROUP, INC."
CERTIFIED-WITHDRAWN	MARY HITCHCOCK MEMORIAL HOSPITAL
DENIED	TMS PLUMBING AND HEATING CORP
CERTIFIED	"NEWLINK COMMUNICATIONS GROUP, LLC"
DENIED	BENYOUCEF LLC
CERTIFIED	99TH AVENUE HOLDINGS LLC
CERTIFIED	"ASTELLAS PHARMA US, INC."
CERTIFIED	STRYKER CORPORATION
CERTIFIED-WITHDRAWN	"MANITOWOC FSG OPERATIONS, LLC"
CERTIFIED	NORTHWELL HEALTH
CERTIFIED	HARIBO FOOD 2004 INC
CERTIFIED	UGAM SOLUTIONS SEZ PVT. LTD
CERTIFIED	"PREVEIL, LLC"
CERTIFIED	AMERICAN PUBLIC TRANSPORTATION ASSOCIATION
CERTIFIED	FARADAY&FUTURE INC
CERTIFIED	MILK SPECIALTIES GLOBAL
DENIED	MILK SPECIALTIES GLOBAL
CERTIFIED-WITHDRAWN	"HARGRAY COMMUNICATIONS GROUP, INC."
CERTIFIED	DIAMONDS DIRECT USA INC
CERTIFIED	"NATURAL POWER AND ENERGY, LLC"
CERTIFIED	"PREVEIL, LLC"
CERTIFIED	RIGHTSIDE OPERATING CO
CERTIFIED	ENGINE CONTROL SYSTEMS LIMITED
CERTIFIED	"SHIRE PHARMACEUTICALS, LLC"
CERTIFIED-WITHDRAWN	TI GROUP AUTOMOTIVE SYSTEMS L.L.C.
CERTIFIED	"FINCH PAPER, LLC"
CERTIFIED	"FINCH PAPER, LLC"
CERTIFIED	"ADVANCED PRACTICE STRATEGIES, INC."
CERTIFIED	"PROFESSIONAL TOOL GRINDING, INC."
CERTIFIED	TMS PLUMBING AND HEATING CORP
CERTIFIED	"CASTLE BRANCH, INC."
